S.No.,Project Name,Department,PI / Main Contact,Co-PI / Other Investigators,Funding Agency,From,To,Amount (Rs.),Status
47.,Design and Development of Solar-Wind-Based Intelligent Energy-Efficient Autonomous Micro-Grid System Considering Hybrid Attacks for Electric Mobility and Rural Electrification,ICE,Dr. Anil Kumar Yadav,-,ANRF,Jun-1,Jun-28,4434480,Ongoing
48.,Repository of Brain Computer Interfaces (BCI) - Use Cases,ICE,Dr. Rajesh Singla,,BIS,Feb-25,Sep-25,242000,Ongoing
49.,Autonomous Agriculture Field Mobile Robot Navigation,ICE,Dr Afzal Sikander,Prof. K S Nagla & Dr Karan jain,iHUB Awadh under DST,Mar-10,09-Mar-26,600000,Ongoing
50.,Study of Service Quality provided by Public Service Organizations.,IPE,Dr. Anish Sachdeva,Dr Narendra Kumar and Prof R G Garg,BIS,Feb-25,Aug-25,910000,Ongoing
51.,Enhancing corrosion resistance and wear resistance of SS 316L implants with cold spray coating of Ti-HEA composite,IPE,Sharath Kumar (Applicant),"Dr Rakesh Kumar, Dr Rajeev Verma (Project Guide(s))","R&D Grant-in-aid, The Institution of Engineers India (IEI)",June-24,June-26,100000,Ongoing
52.,Mechanical and Manufacturing Engneering & Robitics,IPE,Dr. Anish Sachdeva (Mentor),Dr. Harish Kumar Nirala,SERB-ANRF-TARE,Feb-24,Jun-27,1830000,Ongoing
53.,"Incremental Sheet Forming: Experimental and FEA,",IPE,Dr. Anish Sachdeva (Mentor),Dr. Harish Kumar Nirala (Rajiv Gandhi Government Engineering College - HP),SERB-ANRF-TARE,Feb-24,Feb-27,1830000,Ongoing
54.,Development and analysis of magnetically-assisted variable flow abrasive-based finishing,IPE,Dr. Aviral Misra,Dr. Vishal Santosh Sharma,DST-SERB,Mar-23,Mar-26,3582246,Ongoing
55.,Development of Automated Deposition Head for 3DPrinting of Continuous Fibre Reinforced High-Performance Polymer Composites,IPE,Dr.Narendra Kumar,Dr. Ghnsyam Neje and Dr. Ravi Partap Singh,DST-SERB-CRG,Mar-23,Mar-26,5412264,Ongoing
56.,Design and Development of prototype UV assisted 3D printing machine,IPE,Dr. Narendra Kumar,Dr. Ravi Pratap,ISRO,Dec-22,Jun-25,1888500,Ongoing
57.,Investigating the intricacies of gractal concerns,MC,Dr. Saurabh kumar katiyar,,ANRF,Jun-25,Jun-28,2766480,Ongoing
58.,Conversion of Higher Order Interative Methods in Banach Spaces,MC,Dr Sukhjit Singh,,IRG ANRF,Mar-25,Mar-28,3075960,Ongoing
59.,On combinatorial structures realized by algebraic sturctures,MC,Dr Ravinder Singh,-,NBHM (DAE),May-23,May-26,237500,Ongoing
